"Timestamp","Mess ID","Breakfast","Lunch","Dinner"
"2026/04/21 10:16:11 PM GMT+5:30","529","Yes","NO","Yes"
"2026/04/21 10:16:17 PM GMT+5:30","548","Yes","NO","No"
"2026/04/21 10:16:32 PM GMT+5:30","549","No","NO","No"
"2026/04/21 10:16:45 PM GMT+5:30","536","No","Yes","No"
"2026/04/21 10:16:59 PM GMT+5:30","573","Yes","Yes","Yes"
"2026/04/21 10:17:04 PM GMT+5:30","235","Yes","NO","Yes"
"2026/04/21 10:17:16 PM GMT+5:30","345","Yes","Yes","No"
"2026/04/21 10:17:26 PM GMT+5:30","511","No","Yes","Yes"
"2026/04/21 10:17:34 PM GMT+5:30","233","Yes","Yes","Yes"
"2026/04/21 10:17:38 PM GMT+5:30","518","Yes","Yes","Yes"
"2026/04/21 10:17:45 PM GMT+5:30","235","Yes","Yes","Yes"
"2026/04/21 10:17:48 PM GMT+5:30","539","No","Yes","Yes"
"2026/04/21 10:17:56 PM GMT+5:30","225","No","Yes","Yes"
"2026/04/21 10:18:01 PM GMT+5:30","345","Yes","Yes","Yes"
"2026/04/21 10:18:06 PM GMT+5:30","226","No","Yes","Yes"
"2026/04/21 10:18:10 PM GMT+5:30","345","Yes","Yes","Yes"
"2026/04/21 10:18:16 PM GMT+5:30","227","Yes","Yes","Yes"
"2026/04/21 10:18:23 PM GMT+5:30","538","Yes","Yes","Yes"
"2026/04/21 10:18:26 PM GMT+5:30","228","No","Yes","Yes"
"2026/04/21 10:18:36 PM GMT+5:30","547","No","Yes","Yes"
"2026/04/21 10:18:37 PM GMT+5:30","229","No","Yes","Yes"
"2026/04/21 10:18:49 PM GMT+5:30","549","Yes","NO","Yes"
"2026/04/21 10:18:49 PM GMT+5:30","230","No","Yes","Yes"
"2026/04/21 10:19:00 PM GMT+5:30","231","Yes","Yes","Yes"
"2026/04/21 10:19:13 PM GMT+5:30","232","Yes","Yes","Yes"
"2026/04/21 10:19:24 PM GMT+5:30","234","No","Yes","Yes"
"2026/04/21 10:19:34 PM GMT+5:30","236","Yes","Yes","Yes"
"2026/04/21 10:19:53 PM GMT+5:30","237","Yes","Yes","Yes"
"2026/04/21 10:20:03 PM GMT+5:30","238","No","Yes","Yes"
"2026/04/21 10:20:13 PM GMT+5:30","239","No","Yes","Yes"
"2026/04/21 10:20:22 PM GMT+5:30","240","Yes","NO","Yes"
"2026/04/21 10:21:08 PM GMT+5:30","345","Yes","Yes","No"
"2026/04/21 10:22:03 PM GMT+5:30","234","Yes","NO","Yes"
"2026/04/21 10:22:15 PM GMT+5:30","879","No","Yes","Yes"
"2026/04/21 10:22:37 PM GMT+5:30","765","Yes","Yes","Yes"
"2026/04/21 10:25:20 PM GMT+5:30","241","No","Yes","Yes"
"2026/04/21 10:25:51 PM GMT+5:30","242","No","Yes","Yes"
"2026/04/21 10:26:00 PM GMT+5:30","243","Yes","Yes","Yes"
"2026/04/21 10:56:15 PM GMT+5:30","244","No","Yes","Yes"
"2026/04/21 11:01:46 PM GMT+5:30","400","Yes","No","Yes"
"2026/04/21 11:01:57 PM GMT+5:30","401","No","No","Yes"
"2026/04/21 11:02:06 PM GMT+5:30","402","Yes","No","No"
"2026/04/21 11:02:11 PM GMT+5:30","500","Yes","No","Yes"
"2026/04/21 11:02:14 PM GMT+5:30","403","Yes","No","No"
"2026/04/21 11:02:20 PM GMT+5:30","245","No","Yes","Yes"
"2026/04/21 11:02:20 PM GMT+5:30","501","No","Yes","Yes"
"2026/04/21 11:02:29 PM GMT+5:30","246","No","Yes","Yes"
"2026/04/21 11:02:29 PM GMT+5:30","502","No","Yes","Yes"
"2026/04/21 11:02:37 PM GMT+5:30","404","Yes","Yes","Yes"
"2026/04/21 11:02:38 PM GMT+5:30","503","Yes","Yes","Yes"
"2026/04/21 11:02:39 PM GMT+5:30","247","No","Yes","Yes"
"2026/04/21 11:02:45 PM GMT+5:30","300","No","Yes","No"
"2026/04/21 11:02:46 PM GMT+5:30","405","No","Yes","Yes"
"2026/04/21 11:02:50 PM GMT+5:30","248 ","Yes","Yes","Yes"
"2026/04/21 11:02:53 PM GMT+5:30","504","Yes","Yes","No"
"2026/04/21 11:03:02 PM GMT+5:30","505","Yes","Yes","No"
"2026/04/21 11:03:10 PM GMT+5:30","506","Yes","Yes","Yes"
"2026/04/21 11:03:15 PM GMT+5:30","249","No","Yes","Yes"
"2026/04/21 11:03:18 PM GMT+5:30","507","Yes","Yes","Yes"
"2026/04/21 11:03:18 PM GMT+5:30","406","Yes","Yes","No"
"2026/04/21 11:03:24 PM GMT+5:30","250","No","Yes","Yes"
"2026/04/21 11:03:26 PM GMT+5:30","508","Yes","Yes","Yes"
"2026/04/21 11:03:28 PM GMT+5:30","407","Yes","No","No"
"2026/04/21 11:03:33 PM GMT+5:30","201","No","Yes","Yes"
"2026/04/21 11:03:35 PM GMT+5:30","509","Yes","Yes","Yes"
"2026/04/21 11:03:36 PM GMT+5:30","408","No","No","Yes"
"2026/04/21 11:03:42 PM GMT+5:30","202","Yes","Yes","Yes"
"2026/04/21 11:03:44 PM GMT+5:30","409","Yes","Yes","Yes"
"2026/04/21 11:03:48 PM GMT+5:30","510","Yes","No","Yes"
"2026/04/21 11:03:50 PM GMT+5:30","203","Yes","Yes","No"
"2026/04/21 11:03:53 PM GMT+5:30","410","No","Yes","No"
"2026/04/21 11:04:01 PM GMT+5:30","204","Yes","Yes","Yes"
"2026/04/21 11:04:01 PM GMT+5:30","411","No","Yes","Yes"
"2026/04/21 11:04:03 PM GMT+5:30","511","Yes","Yes","Yes"
"2026/04/21 11:04:10 PM GMT+5:30","205","No","Yes","Yes"
"2026/04/21 11:04:11 PM GMT+5:30","412","Yes","Yes","No"
"2026/04/21 11:04:11 PM GMT+5:30","512","Yes","No","Yes"
"2026/04/21 11:04:19 PM GMT+5:30","413","Yes","Yes","No"
"2026/04/21 11:04:20 PM GMT+5:30","513","Yes","No","Yes"
"2026/04/21 11:04:20 PM GMT+5:30","206","Yes","Yes","Yes"
"2026/04/21 11:04:27 PM GMT+5:30","414","No","Yes","Yes"
"2026/04/21 11:04:28 PM GMT+5:30","514","Yes","No","Yes"
"2026/04/21 11:04:52 PM GMT+5:30","515","No","No","Yes"
"2026/04/21 11:04:54 PM GMT+5:30","207","Yes","Yes","Yes"
"2026/04/21 11:05:00 PM GMT+5:30","516","Yes","No","Yes"
"2026/04/21 11:05:03 PM GMT+5:30","207","No","No","Yes"
"2026/04/21 11:05:08 PM GMT+5:30","517","Yes","No","Yes"
"2026/04/21 11:05:14 PM GMT+5:30","208","Yes","Yes","Yes"
"2026/04/21 11:05:24 PM GMT+5:30","209","No","Yes","Yes"
"2026/04/21 11:05:24 PM GMT+5:30","518","No","Yes","Yes"
"2026/04/21 11:05:33 PM GMT+5:30","519","No","Yes","Yes"
"2026/04/21 11:05:33 PM GMT+5:30","210","Yes","Yes","Yes"
"2026/04/21 11:05:42 PM GMT+5:30","520","Yes","Yes","Yes"
"2026/04/21 11:05:43 PM GMT+5:30","211","No","Yes","Yes"
"2026/04/21 11:05:51 PM GMT+5:30","521","Yes","Yes","Yes"
"2026/04/21 11:05:56 PM GMT+5:30","212","Yes","Yes","Yes"
"2026/04/21 11:05:58 PM GMT+5:30","522","No","Yes","Yes"
"2026/04/21 11:06:04 PM GMT+5:30","213","Yes","Yes","Yes"
"2026/04/21 11:06:13 PM GMT+5:30","301","Yes","No","Yes"
"2026/04/21 11:06:15 PM GMT+5:30","214","No","Yes","Yes"
"2026/04/21 11:06:17 PM GMT+5:30","415","Yes","Yes","Yes"
"2026/04/21 11:06:24 PM GMT+5:30","215","No","Yes","Yes"
"2026/04/21 11:06:25 PM GMT+5:30","416","Yes","Yes","No"
"2026/04/21 11:06:31 PM GMT+5:30","302","No","No","Yes"
"2026/04/21 11:06:34 PM GMT+5:30","216","No","Yes","Yes"
"2026/04/21 11:06:34 PM GMT+5:30","417","No","Yes","Yes"
"2026/04/21 11:06:43 PM GMT+5:30","418","No","No","Yes"
"2026/04/21 11:06:48 PM GMT+5:30","217","No","Yes","Yes"
"2026/04/21 11:06:48 PM GMT+5:30","523","Yes","Yes","Yes"
"2026/04/21 11:06:51 PM GMT+5:30","419","No","No","Yes"
"2026/04/21 11:06:57 PM GMT+5:30","524","Yes","Yes","Yes"
"2026/04/21 11:06:57 PM GMT+5:30","218","No","Yes","Yes"
"2026/04/21 11:06:59 PM GMT+5:30","420","No","No","Yes"
"2026/04/21 11:07:05 PM GMT+5:30","525","Yes","Yes","Yes"
"2026/04/21 11:07:12 PM GMT+5:30","219","No","Yes","Yes"
"2026/04/21 11:07:15 PM GMT+5:30","421","No","No","Yes"
"2026/04/21 11:07:24 PM GMT+5:30","526","Yes","No","Yes"
"2026/04/21 11:07:26 PM GMT+5:30","422","No","Yes","Yes"
"2026/04/21 11:07:27 PM GMT+5:30","303","Yes","Yes","Yes"
"2026/04/21 11:07:31 PM GMT+5:30","220","Yes","Yes","Yes"
"2026/04/21 11:07:32 PM GMT+5:30","527","Yes","Yes","Yes"
"2026/04/21 11:07:33 PM GMT+5:30","423","No","Yes","Yes"
"2026/04/21 11:07:39 PM GMT+5:30","528","No","Yes","Yes"
"2026/04/21 11:07:42 PM GMT+5:30","424","No","Yes","Yes"
"2026/04/21 11:07:42 PM GMT+5:30","304","No","No","No"
"2026/04/21 11:07:48 PM GMT+5:30","529","Yes","Yes","Yes"
"2026/04/21 11:07:49 PM GMT+5:30","221","No","Yes","Yes"
"2026/04/21 11:07:52 PM GMT+5:30","425","No","No","No"
"2026/04/21 11:07:54 PM GMT+5:30","305","Yes","No","Yes"
"2026/04/21 11:08:00 PM GMT+5:30","222","Yes","Yes","Yes"
"2026/04/21 11:08:01 PM GMT+5:30","426","Yes","Yes","No"
"2026/04/21 11:08:07 PM GMT+5:30","306","Yes","Yes","No"
"2026/04/21 11:08:09 PM GMT+5:30","223","Yes","Yes","Yes"
"2026/04/21 11:08:09 PM GMT+5:30","428","Yes","Yes","No"
"2026/04/21 11:08:12 PM GMT+5:30","530","Yes","No","Yes"
"2026/04/21 11:08:17 PM GMT+5:30","224","Yes","Yes","Yes"
"2026/04/21 11:08:19 PM GMT+5:30","429","No","No","Yes"
"2026/04/21 11:08:21 PM GMT+5:30","307","Yes","Yes","No"
"2026/04/21 11:08:22 PM GMT+5:30","531","Yes","Yes","Yes"
"2026/04/21 11:08:27 PM GMT+5:30","430","Yes","Yes","No"
"2026/04/21 11:08:30 PM GMT+5:30","532","Yes","Yes","Yes"
"2026/04/21 11:08:35 PM GMT+5:30","431","Yes","No","Yes"
"2026/04/21 11:08:37 PM GMT+5:30","308","No","No","Yes"
"2026/04/21 11:08:42 PM GMT+5:30","533","Yes","No","Yes"
"2026/04/21 11:08:42 PM GMT+5:30","432","Yes","No","Yes"
"2026/04/21 11:08:51 PM GMT+5:30","433","No","No","No"
"2026/04/21 11:08:51 PM GMT+5:30","309","Yes","Yes","Yes"
"2026/04/21 11:08:58 PM GMT+5:30","535","Yes","Yes","Yes"
"2026/04/21 11:09:01 PM GMT+5:30","435","Yes","No","Yes"
"2026/04/21 11:09:03 PM GMT+5:30","310","Yes","No","Yes"
"2026/04/21 11:09:06 PM GMT+5:30","536","Yes","No","Yes"
"2026/04/21 11:09:10 PM GMT+5:30","436","No","No","Yes"
"2026/04/21 11:09:15 PM GMT+5:30","537","Yes","Yes","Yes"
"2026/04/21 11:09:17 PM GMT+5:30","311","Yes","No","Yes"
"2026/04/21 11:09:19 PM GMT+5:30","437","Yes","No","Yes"
"2026/04/21 11:09:22 PM GMT+5:30","538","Yes","Yes","Yes"
"2026/04/21 11:09:28 PM GMT+5:30","438","Yes","Yes","No"
"2026/04/21 11:09:30 PM GMT+5:30","312","Yes","Yes","Yes"
"2026/04/21 11:09:30 PM GMT+5:30","539","Yes","Yes","Yes"
"2026/04/21 11:09:37 PM GMT+5:30","439","No","Yes","No"
"2026/04/21 11:09:37 PM GMT+5:30","540","Yes","No","Yes"
"2026/04/21 11:09:44 PM GMT+5:30","440","No","No","No"
"2026/04/21 11:09:45 PM GMT+5:30","313","No","No","No"
"2026/04/21 11:09:47 PM GMT+5:30","541","Yes","Yes","Yes"
"2026/04/21 11:09:53 PM GMT+5:30","441","Yes","Yes","Yes"
"2026/04/21 11:09:54 PM GMT+5:30","542","Yes","Yes","Yes"
"2026/04/21 11:10:00 PM GMT+5:30","442","Yes","Yes","Yes"
"2026/04/21 11:10:00 PM GMT+5:30","314","Yes","Yes","No"
"2026/04/21 11:10:02 PM GMT+5:30","543","No","Yes","Yes"
"2026/04/21 11:10:08 PM GMT+5:30","443","Yes","Yes","Yes"
"2026/04/21 11:10:10 PM GMT+5:30","544","Yes","Yes","Yes"
"2026/04/21 11:10:13 PM GMT+5:30","315","Yes","Yes","Yes"
"2026/04/21 11:10:16 PM GMT+5:30","444","Yes","No","Yes"
"2026/04/21 11:10:18 PM GMT+5:30","545","Yes","Yes","Yes"
"2026/04/21 11:10:23 PM GMT+5:30","316","Yes","Yes","Yes"
"2026/04/21 11:10:23 PM GMT+5:30","445","Yes","Yes","Yes"
"2026/04/21 11:10:27 PM GMT+5:30","546","Yes","No","Yes"
"2026/04/21 11:10:31 PM GMT+5:30","446","Yes","Yes","Yes"
"2026/04/21 11:10:37 PM GMT+5:30","547","No","Yes","Yes"
"2026/04/21 11:10:38 PM GMT+5:30","317","No","Yes","No"
"2026/04/21 11:10:38 PM GMT+5:30","447","No","Yes","Yes"
"2026/04/21 11:10:45 PM GMT+5:30","448","Yes","Yes","Yes"
"2026/04/21 11:10:49 PM GMT+5:30","318","Yes","Yes","Yes"
"2026/04/21 11:10:52 PM GMT+5:30","548","Yes","No","Yes"
"2026/04/21 11:10:56 PM GMT+5:30","449","Yes","Yes","Yes"
"2026/04/21 11:11:01 PM GMT+5:30","319","No","Yes","No"
"2026/04/21 11:11:01 PM GMT+5:30","549","Yes","Yes","Yes"
"2026/04/21 11:11:08 PM GMT+5:30","450","No","No","Yes"
"2026/04/21 11:11:11 PM GMT+5:30","550","Yes","Yes","Yes"
"2026/04/21 11:11:19 PM GMT+5:30","320","Yes","No","Yes"
"2026/04/21 11:14:10 PM GMT+5:30","321","Yes","Yes","Yes"
"2026/04/21 11:36:56 PM GMT+5:30","322","No","No","No"
"2026/04/21 11:37:10 PM GMT+5:30","323","No","No","No"
"2026/04/21 11:37:20 PM GMT+5:30","324","No","No","No"
"2026/04/21 11:37:29 PM GMT+5:30","325","No","No","No"
"2026/04/21 11:37:38 PM GMT+5:30","326","No","No","No"
"2026/04/21 11:37:48 PM GMT+5:30","327","No","No","No"
"2026/04/21 11:37:57 PM GMT+5:30","328","No","No","No"
"2026/04/21 11:38:06 PM GMT+5:30","329","No","No","No"
"2026/04/21 11:38:14 PM GMT+5:30","330","No","No","No"
"2026/04/21 11:47:02 PM GMT+5:30","322","Yes","No","Yes"
"2026/04/21 11:47:11 PM GMT+5:30","323","Yes","No","Yes"
"2026/04/21 11:47:20 PM GMT+5:30","325","Yes","Yes","No"
"2026/04/21 11:47:35 PM GMT+5:30","325","Yes","No","Yes"
"2026/04/21 11:47:44 PM GMT+5:30","326","Yes","Yes","No"
"2026/04/21 11:47:55 PM GMT+5:30","327","Yes","Yes","No"
"2026/04/21 11:48:07 PM GMT+5:30","328","Yes","No","Yes"
"2026/04/21 11:48:16 PM GMT+5:30","329","Yes","Yes","No"
"2026/04/21 11:48:25 PM GMT+5:30","330","Yes","No","No"
"2026/04/21 11:48:35 PM GMT+5:30","331","Yes","Yes","No"
"2026/04/21 11:48:44 PM GMT+5:30","332","Yes","No","No"
"2026/04/21 11:48:52 PM GMT+5:30","333","Yes","Yes","Yes"
"2026/04/21 11:49:04 PM GMT+5:30","334","Yes","No","No"
"2026/04/21 11:49:14 PM GMT+5:30","335","Yes","Yes","No"
"2026/04/21 11:49:22 PM GMT+5:30","336","Yes","Yes","No"
"2026/04/21 11:49:37 PM GMT+5:30","337","Yes","Yes","No"
"2026/04/21 11:49:47 PM GMT+5:30","338","No","Yes","Yes"
"2026/04/21 11:49:59 PM GMT+5:30","339","Yes","No","Yes"
"2026/04/21 11:50:09 PM GMT+5:30","340","Yes","Yes","Yes"
"2026/04/21 11:50:21 PM GMT+5:30","341","No","No","Yes"
"2026/04/21 11:50:33 PM GMT+5:30","342","Yes","Yes","Yes"
"2026/04/21 11:50:44 PM GMT+5:30","343","No","No","No"
"2026/04/21 11:50:53 PM GMT+5:30","344","No","Yes","No"
"2026/04/21 11:51:02 PM GMT+5:30","346","Yes","No","Yes"
"2026/04/21 11:51:11 PM GMT+5:30","347","Yes","Yes","Yes"
"2026/04/21 11:51:20 PM GMT+5:30","348","Yes","Yes","Yes"
"2026/04/21 11:51:32 PM GMT+5:30","349","Yes","No","No"
"2026/04/21 11:51:41 PM GMT+5:30","350","Yes","No","Yes"
"2026/04/22 2:10:00 PM GMT+5:30","123","Yes","Yes","Yes"
"2026/04/22 2:35:54 PM GMT+5:30","123","Yes","Yes","Yes"
"2026/04/22 2:41:00 PM GMT+5:30","123","Yes","Yes","Yes"